lemma
be
the
and
a
of
to
you
i
have
it
in
do
that
we
that
to
this
he
for
they
on
go
n't
with
but
what
say
know
not
get
think
so
about
at
will
people
from
there
just
can
if
who
now
all
his
she
or
would
well
as
see
my
come
want
very
make
your
up
me
some
by
here
out
time
one
because
how
their
take
thing
them
year
our
right
like
when
really
president
there
these
him
us
look
way
mean
good
then
could
talk
tell
other
which
back
yes
yeah
her
day
those
first
let
as
into
two
lot
more
try
also
no
than
give
more
something
happen
any
why
man
today
all
on
should
much
new
call
one
no
work
many
country
find
woman
when
question
last
life
need
down
thank
put
in
ask
big
house
even
great
like
still
hear
feel
week
oh
her
use
news
so
kind
world
after
child
actually
believe
where
start
never
out
fact
state
point
again
story
case
family
problem
as
too
over
next
may
republican
about
part
government
every
issue
american
morning
where
only
guy
through
right
over
money
keep
another
three
right
little
show
job
help
bring
same
number
night
leave
war
always
ok
own
different
live
most
against
seem
place
run
school
kid
sure
percent
begin
might
bad
become
love
play
anything
month
ever
maybe
ago
join
show
book
tonight
whether
off
old
party
turn
course
write
hour
important
city
speak
real
police
move
person
probably
watch
law
high
pay
court
much
able
understand
change
democrat
word
political
senator
friend
lose
side
few
remember
national
moment
kill
between
unidentified
business
everybody
most
home
everything
young
campaign
idea
program
continue
thanks
meet
company
tax
group
little
together
four
win
away
security
both
whole
long
end
hold
reason
around
before
after
back
around
someone
kind
congress
certainly
work
stop
nothing
minute
member
stay
absolutely
spend
agree
under
far
five
system
mother
best
exactly
report
health
name
though
hope
somebody
wait
pretty
end
line
least
nation
sit
else
almost
already
former
hand
before
election
send
couple
million
break
care
area
force
yet
read
TRUE
administration
hard
american
without
policy
later
parent
car
during
video
stand
sense
long
father
military
while
learn
street
movie
leader
situation
listen
since
decision
information
only
office
die
plan
look
power
public
decide
quite
community
senate
bill
air
death
girl
candidate
drug
wrong
such
home
raise
federal
okay
call
deal
bit
expect
interesting
governor
ahead
buy
small
late
room
black
off
guess
report
evidence
once
vote
walk
economy
sort
phone
enough
picture
set
up
allow
everyone
defense
early
better
lead
create
history
until
break
democratic
obviously
vote
head
department
six
because
game
attack
doctor
deal
must
media
record
wife
large
grow
boy
cut
stuff
process
crime
nice
support
special
hit
strong
fight
official
mind
team
basically
pass
lot
attorney
debate
change
happy
talk
service
music
student
better
water
second
center
baby
sometimes
investigation
himself
follow
whatever
welcome
clear
son
pick
across
view
chance
difficult
body
race
tomorrow
even
dollar
behind
commercial
gun
build
like
camera
committee
heart
anybody
message
both
before
yesterday
weapon
action
tough
possible
sell
answer
market
finally
major
several
position
face
daughter
like
interest
perhaps
relationship
town
food
film
consider
officer
themselves
forward
trial
foreign
white
level
press
secretary
open
matter
difference
certain
politics
ground
justice
poll
control
piece
economic
serious
early
mom
weekend
often
face
clip
university
shoot
within
either
interview
television
fall
drive
role
song
effort
troop
sing
director
hi
especially
experience
husband
hey
among
human
including
murder
half
mention
age
terms
correspondent
love
each
eye
voter
statement
close
price
ready
bit
cover
easy
second
tv
free
conversation
reporter
speech
opportunity
fire
provide
pull
budget
anyone
future
scene
clearly
judge
simply
nobody
brother
presidential
event
protect
door
that
local
yourself
huge
myself
hospital
international
jury
care
explain
sound
social
result
college
mm-hmm
support
rate
general
victim
sorry
public
king
realize
lawyer
appear
attention
personal
charge
focus
suggest
point
full
serve
union
low
quickly
add
choice
meeting
folk
rest
effect
wear
truth
star
road
reach
oil
concern
along
building
eight
term
wonder
save
worry
seven
medical
peace
cause
throw
industry
miss
involve
billion
nuclear
push
concerned
voice
catch
no
lady
describe
carry
like
radio
threat
its
legal
eat
evening
church
other
hard
rule
hurt
answer
violence
border
thousand
please
beautiful
each
worker
dead
intelligence
away
sex
reform
site
minister
class
character
base
offer
letter
single
through
million
middle
wonderful
fine
guest
risk
north
release
private
soon
study
choose
prison
return
lie
cause
bank
patient
act
check
close
congressman
itself
step
remain
audience
short
particularly
safe
education
very
test
include
help
act
foot
rather
trouble
past
amount
authority
type
supposed
involved
third
hundred
army
imagine
fair
professor
plane
mile
argument
crisis
forget
plan
less
enough
feeling
majority
pressure
dog
period
general
organization
east
according
prepare
share
respond
opinion
dad
receive
figure
just
cost
entire
list
less
society
amazing
series
stage
south
sign
iraqi
correct
teach
treat
tape
sister
beginning
soldier
wow
willing
attack
nearly
open
definitely
name
ought
thought
cancer
supreme
claim
prosecutor
operation
magazine
player
civil
order
insurance
county
hello
no
research
trade
comment
career
accept
inside
mistake
energy
chief
expert
agreement
apparently
station
table
discuss
mayor
teacher
blood
fly
field
recently
appreciate
completely
drop
outside
disease
top
space
marriage
store
reaction
prove
top
past
agency
responsibility
actor
particular
source
final
although
hot
affect
cut
sign
announce
commit
summer
chairman
value
detail
staff
science
funny
head
paper
response
likely
conference
sir
soviet
argue
credit
product
movement
west
computer
recent
leadership
senior
shot
network
however
decade
season
fire
condition
witness
cell
reality
guilty
technology
anyway
beat
fight
arm
stock
fear
hearing
language
example
fail
author
challenge
post
citizen
battle
force
impact
wall
simple
represent
mission
quote
discussion
hope
quick
wish
totally
dangerous
sexual
financial
red
admit
need
prime
afraid
agent
step
poor
art
lay
develop
require
lots
well
indeed
interview
page
base
card
beyond
executive
strike
draw
benefit
caller
since
fan
nine
individual
animal
terrible
storm
sport
dream
light
standard
anymore
address
handle
charge
usually
produce
down
close
control
along
than
studio
enjoy
image
while
use
stick
seat
crazy
recognize
hair
success
capital
project
trip
ad
immigration
interested
board
culture
floor
by
russian
treatment
hang
pain
central
vice
gentleman
sound
perfect
freedom
weather
safety
born
conservative
accuse
debt
key
judge
throughout
christmas
united
whose
laugh
district
deny
criminal
course
coverage
land
popular
normal
goal
now
photo
common
development
responsible
occur
live
bomb
defend
middle
arrive
strategy
hundred
left
fun
ability
region
brain
behavior
travel
laughter
politician
host
gas
once
century
web
form
flight
far
cost
none
suffer
